feature,importance
categorical__work_title_jp_機動戦士VS伝説巨神 逆襲のギガンティス,0.00016373297135703654
categorical__medium_hint_Manga + Novel + Game,0.00016204313261824053
categorical__affiliation_context_jp_ディアナカウンター（ムーンレィス軍）,0.0001597214164883796
categorical__affiliation_context_jp_カタロン,0.00015719609224460612
categorical__work_title_jp_SDガンダム英雄伝,0.0001450498402145784
categorical__work_title_jp_機動武闘外伝ガンダムファイト7th,0.00014468618642064394
categorical__work_title_jp_機動戦士ガンダムSEED ASTRAY,0.00013601949376196326
categorical__work_title_jp_機動戦士ガンダムUC 星月の欠片,0.00012729719721915551
categorical__medium_hint_Manga + Model/variation project,0.0001248806143950112
categorical__affiliation_context_jp_ホシオカ工場,0.00012198529153365578
categorical__work_title_jp_機動戦士ガンダムΖΖ外伝 ジオンの幻陽,0.00011657382635642428
categorical__work_title_jp_機動戦士ガンダムF90,0.00011611095659584503
categorical__affiliation_context_jp_ドルトコロニー群,0.00011603970394966168
categorical__work_title_jp_魔法の少尉ブラスターマリ,0.00011362178125085905
categorical__affiliation_context_jp_第7回ガンダムファイト代表ガンダムファイター,0.00010922559155812055
categorical__work_title_jp_機動戦士ガンダムSEED DESTINY ASTRAY,0.00010882732608793574
categorical__work_title_jp_機動戦士ガンダムSEED DESTINY MSV,0.00010854986197787002
categorical__affiliation_context_jp_カラード,0.00010634106570591917
categorical__affiliation_context_jp_地球連邦軍（ホンコン・マハ）,9.483912309358599e-05
categorical__work_title_jp_機動戦士ガンダム クライマックスU.C.,9.14680071570188e-05
categorical__affiliation_context_jp_地球連邦軍（マハ）,9.072755198034055e-05
categorical__affiliation_context_jp_ギンガナム艦隊（ムーンレィス軍）,9.062147875061424e-05
categorical__affiliation_context_jp_バルチャー,8.261635767013496e-05
categorical__work_title_jp_機動戦士ガンダム MS戦線0079,8.181774484927731e-05
categorical__work_title_jp_機動戦士ガンダムAGE 〜追憶のシド〜,8.130652884003811e-05
categorical__affiliation_context_jp_ムーンレィス,7.972616082378947e-05
categorical__work_title_jp_機動戦士ガンダムF91 フォーミュラー戦記0122,7.49488100549103e-05
categorical__affiliation_context_jp_海賊部隊,6.804816816715672e-05
categorical__affiliation_context_jp_ハイム家,6.445715891490444e-05
categorical__work_title_jp_機動戦士ガンダムSEED FRAME ASTRAYS,6.280024691404334e-05
categorical__work_title_jp_機動戦士ガンダム スピリッツオブジオン,5.577613354532702e-05
categorical__affiliation_context_jp_サーペントテール,5.4205454396432726e-05
categorical__affiliation_context_jp_ジャンク屋組合,5.3190125134103204e-05
categorical__affiliation_context_jp_マゼラン級トーチタス,5.2739369276148815e-05
categorical__work_title_jp_ジオニックフロント 機動戦士ガンダム0079,4.8342665687428214e-05
categorical__affiliation_context_jp_隊長（シロー）,4.825276101311749e-05
categorical__affiliation_context_jp_ギャビー・ハザード,4.7995860468447e-05
categorical__affiliation_context_jp_トワサンガ,4.773256029563181e-05
categorical__affiliation_context_jp_傭兵,4.7632717374838644e-05
categorical__medium_hint_infrequent_sklearn,4.255158903915261e-05
categorical__affiliation_context_jp_アナハイム・エレトロニクス社,4.14170173591789e-05
categorical__affiliation_context_jp_宇宙革命軍,3.919038312076487e-05
categorical__work_title_jp_機動戦士ガンダムSEED X ASTRAY,3.7315528987243716e-05
